Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,Avg_VTAT,Avg_CTAT,Cancelled_Rides_by_Customer,Reason_for_cancelling_by_Customer,Cancelled_Ride_by_Driver,Reason_for_cancelling_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Ride_Distance,Driver_Ratings,Customer_Rating,Payment_Method
18-09-2025,22:53:00,CNR8132912,Successful,CUST207391,Bike,Hosur Road,Chikkabanavara,1.6,2.8,No,,No,,No,,124,0.5,4.5,4.4,Card
28-09-2025,06:33:00,CNR8545256,Successful,CUST375581,Prime Sedan,Whitefield,Airport Road,3.2,5.9,No,,No,,No,,999,20.9,5,4.5,UPI
06-09-2025,19:51:00,CNR4975295,Other,CUST320073,eBike,Peenya,Sarjapur Road,,,No,,No,,No,,,11.1,,,UPI
21-09-2025,16:47:00,CNR8183451,Cancelled by Driver,CUST274044,Mini,Electronic City,Electronic City,,,No,,Yes,The customer was coughing/sick,No,,,33.6,,,Card
17-09-2025,16:11:00,CNR3824903,Successful,CUST439375,Prime SUV,Marathahalli,Marathahalli,7.4,7.7,No,,No,,No,,317,0.7,4.6,5,Card
28-09-2025,14:46:00,CNR2597613,Cancelled by Driver,CUST242175,Prime SUV,Koramangala 1st Block,Brigade Road,,,No,,Yes,Customer related issue,No,,,20.6,,,UPI
21-09-2025,08:15:00,CNR5188889,Successful,CUST253347,Bike,Richmond Town,Chikkabanavara,2.5,3.1,No,,No,,No,,958,25.2,4.9,4.3,UPI
14-09-2025,08:25:00,CNR5508325,Successful,CUST758309,Mini,Airport Road,Jayanagar,4.7,5.1,No,,No,,No,,499,4.8,4.7,5,Card
28-09-2025,07:35:00,CNR7758714,Incomplete,CUST640659,Bike,Sarjapur Road,Banerghatta Road,,,No,,No,,Yes,Vehicle Breakdown,,12.2,,,Card
12-09-2025,06:02:00,CNR2562657,Successful,CUST866437,Prime SUV,Vijayanagar,Bharathnagar,8.1,11.5,No,,No,,No,,395,9.1,4.4,5,UPI
27-09-2025,19:34:00,CNR9966154,Successful,CUST517035,Prime Plus,Koramangala 5th Block,Electronic City,11.7,15.6,No,,No,,No,,141,5.4,4.8,4.4,UPI
12-09-2025,10:50:00,CNR6666591,Successful,CUST673896,Mini,Yeshwantpur,Ulsoor,5.6,6.8,No,,No,,No,,556,15.8,4.2,3.7,Cash
28-09-2025,19:00:00,CNR1812172,Cancelled by Customer,CUST148174,Auto,Baiyappanahalli,Indiranagar,,,Yes,Driver asked to cancel,No,,No,,,4.4,,,Cash
14-09-2025,06:00:00,CNR8177281,Cancelled by Driver,CUST312146,Prime SUV,HSR Layout,Hosur Road,,,No,,Yes,The customer was coughing/sick,No,,,0.5,,,UPI
06-09-2025,12:09:00,CNR5200835,Cancelled by Customer,CUST186424,Prime Sedan,Hosur Road,Rajajinagar,,,Yes,Change of plans,No,,No,,,11.3,,,UPI
22-09-2025,18:53:00,CNR4928281,Successful,CUST550081,Mini,Ejipura,Hebbal,7.1,6.8,No,,No,,No,,449,4.6,4.1,4.4,UPI
14-09-2025,08:15:00,CNR4794852,Cancelled by Customer,CUST644676,Bike,Koramangala,Koramangala,,,Yes,Driver is not moving towards pickup location,No,,No,,,8.7,,,UPI
30-09-2025,13:12:00,CNR3217531,Other,CUST600905,Auto,Cooke Town,Whitefield,,,No,,No,,No,,,27,,,UPI
06-09-2025,11:20:00,CNR7166661,Successful,CUST413791,Auto,Sadananda Nagar,Chikkabanavara,1.3,1.7,No,,No,,No,,824,17.9,4.9,3.9,UPI
21-09-2025,17:33:00,CNR3396676,Successful,CUST171734,Mini,Koramangala,Ejipura,10.6,10.1,No,,No,,No,,356,1.9,4.6,4.7,Card
14-09-2025,18:19:00,CNR4574477,Successful,CUST758589,Bike,Koramangala 1st Block,Ejipura,0.5,0.5,No,,No,,No,,416,6.5,4.8,5,Wallet
28-09-2025,07:28:00,CNR2685524,Successful,CUST246814,Bike,Peenya,Hulimavu,6.8,8.9,No,,No,,No,,315,3.8,4.5,4.4,UPI
29-09-2025,11:22:00,CNR3345961,Successful,CUST359822,Prime Sedan,Whitefield,Richmond Town,5.2,3.8,No,,No,,No,,62,8.6,4.8,4.2,UPI
20-09-2025,16:22:00,CNR5780177,Successful,CUST916808,Prime SUV,Indiranagar,Bharathnagar,7.8,8.6,No,,No,,No,,999,24.5,4.4,4,UPI
07-09-2025,16:21:00,CNR9548370,Other,CUST297810,Bike,Marathahalli,Hosur Road,,,No,,No,,No,,,12.2,,,Wallet
28-09-2025,22:17:00,CNR5015476,Cancelled by Driver,CUST618927,Mini,Richmond Town,Ulsoor,,,No,,Yes,Personal & Car related issues,No,,,6.1,,,UPI
17-09-2025,22:41:00,CNR1202450,Incomplete,CUST478638,Prime SUV,HSR Layout,Cooke Town,,,No,,No,,Yes,Other Issue,,17.5,,,UPI
14-09-2025,15:19:00,CNR3898604,Successful,CUST899776,Mini,Sadananda Nagar,Jayanagar,9.7,10.5,No,,No,,No,,380,2.8,4.7,4.4,UPI
04-09-2025,10:28:00,CNR4619565,Successful,CUST141761,Prime SUV,Residency Road,Frazer Town,13.5,13,No,,No,,No,,270,10,4.2,4.9,UPI
21-09-2025,19:05:00,CNR7969792,Successful,CUST544150,Bike,Whitefield,Vijayanagar,4,4.6,No,,No,,No,,394,5.3,4.8,4.5,UPI
21-09-2025,10:44:00,CNR2402526,Successful,CUST424960,Auto,Electronic City,Malleshwaram,1.8,5,No,,No,,No,,176,7,4.1,4.6,Card
14-09-2025,16:49:00,CNR2109227,Successful,CUST425236,Bike,Hulimavu,Richmond Town,4.5,5.5,No,,No,,No,,499,3,4.9,5,UPI
05-09-2025,13:24:00,CNR2945931,Successful,CUST575394,Mini,Brigade Road,Kengeri,8.8,11.7,No,,No,,No,,234,3.1,4.2,4.8,Card
21-09-2025,08:59:00,CNR3003921,Successful,CUST113280,Bike,Sarjapur Road,Koramangala,2.2,3,No,,No,,No,,273,8.2,4.6,4.3,Cash
28-09-2025,14:55:00,CNR9677559,Cancelled by Driver,CUST921021,eBike,Kalyan Nagar,Rajajinagar,,,No,,Yes,The customer was coughing/sick,No,,,1.2,,,UPI
22-09-2025,08:00:00,CNR1492516,Successful,CUST451284,Bike,Kundalahalli,Shivaji Nagar,5.8,9.3,No,,No,,No,,123,2.8,4.6,4.6,UPI
21-09-2025,15:50:00,CNR2293020,Successful,CUST620248,Mini,Banerghatta Road,Brigade Road,9.4,13.5,No,,No,,No,,462,0.5,5,4.9,UPI
19-09-2025,12:16:00,CNR3639223,Successful,CUST367508,Bike,Yeshwantpur,Nagarbhavi,4.2,4.5,No,,No,,No,,711,8.4,4.5,4.1,UPI
07-09-2025,14:41:00,CNR1043092,Incomplete,CUST146177,eBike,Koramangala,Richmond Town,,,No,,No,,Yes,Vehicle Breakdown,,4.2,,,Wallet
14-09-2025,08:33:00,CNR4002466,Successful,CUST999138,Auto,Ejipura,Talaghattapura,2.7,2.7,No,,No,,No,,306,4.7,4.7,5,UPI
07-09-2025,10:14:00,CNR7983626,Successful,CUST855276,Prime Sedan,Jayanagar,Yeshwantpur,6.2,11.5,No,,No,,No,,31,6.3,4.6,4.1,Cash
16-09-2025,21:23:00,CNR1883692,Successful,CUST288056,Prime Plus,Shivaji Nagar,MG Road,8.2,11.5,No,,No,,No,,500,7.2,4.3,4.1,UPI
04-09-2025,13:56:00,CNR5736323,Other,CUST911102,eBike,Basavanagudi,Whitefield,,,No,,No,,No,,,3.8,,,Card
01-09-2025,09:25:00,CNR5892153,Successful,CUST691194,Bike,Talaghattapura,Ejipura,5,6.3,No,,No,,No,,224,3,4.4,4.9,UPI
13-09-2025,22:35:00,CNR9277218,Other,CUST910143,Bike,Hulimavu,Chamarajpet,,,No,,No,,No,,,23.7,,,Card
08-09-2025,06:06:00,CNR7879264,Successful,CUST125071,Prime Plus,Sanjay Nagar,Vijayanagar,7.1,8.8,No,,No,,No,,743,14.3,4.5,4,Cash
28-09-2025,22:13:00,CNR6620658,Cancelled by Driver,CUST101533,Bike,Cooke Town,Talaghattapura,,,No,,Yes,Personal & Car related issues,No,,,12.8,,,Card
07-09-2025,22:46:00,CNR4995789,Successful,CUST540208,Mini,Brigade Road,Malleshwaram,8.5,10.6,No,,No,,No,,999,20.6,4.7,4.4,UPI
06-09-2025,21:43:00,CNR4883465,Other,CUST986575,Mini,Sarjapur Road,Banerghatta Road,,,No,,No,,No,,,8.4,,,UPI
23-09-2025,15:54:00,CNR2603516,Successful,CUST629979,Auto,Residency Road,Jayanagar,1.2,4.3,No,,No,,No,,40,9.9,4.9,5,Cash
04-09-2025,17:18:00,CNR3192921,Cancelled by Driver,CUST348273,Prime Sedan,Basavanagudi,Residency Road,,,No,,Yes,The customer was coughing/sick,No,,,16.7,,,Card
12-09-2025,10:38:00,CNR4919346,Successful,CUST178315,Prime SUV,HSR Layout,Sadananda Nagar,6.6,7.2,No,,No,,No,,500,13.2,4.4,4.8,UPI
06-09-2025,07:48:00,CNR3757754,Cancelled by Customer,CUST571404,Mini,Koramangala 1st Block,Yelahanka,,,Yes,Driver asked to cancel,No,,No,,,4.7,,,UPI
14-09-2025,13:54:00,CNR5446095,Cancelled by Driver,CUST993892,Auto,Rajajinagar,Nagarbhavi,,,No,,Yes,Personal & Car related issues,No,,,5.7,,,Card
07-09-2025,20:37:00,CNR6499465,Successful,CUST255528,Auto,Richmond Town,Sanjay Nagar,6.3,8.7,No,,No,,No,,256,5.2,4,3.9,Cash
03-09-2025,11:06:00,CNR5364874,Successful,CUST959926,Prime SUV,Indiranagar,Residency Road,5.6,6.8,No,,No,,No,,520,18.9,4.2,3.5,UPI
19-09-2025,15:23:00,CNR5191831,Cancelled by Driver,CUST199326,Mini,HSR Layout,Yelahanka,,,No,,Yes,Customer related issue,No,,,2.8,,,Card
07-09-2025,20:03:00,CNR7720647,Successful,CUST490321,Bike,Hosur Road,Whitefield,0.5,1.8,No,,No,,No,,348,12.2,5,3.7,UPI
08-09-2025,19:52:00,CNR2258076,Successful,CUST122859,Prime SUV,Jalahalli,Hosur Road,10.8,13.1,No,,No,,No,,280,7.4,4.4,5,UPI
06-09-2025,21:26:00,CNR6562484,Successful,CUST228479,Auto,Baiyappanahalli,Brigade Road,6.9,8.8,No,,No,,No,,304,0.7,4.6,4.6,UPI
19-09-2025,20:01:00,CNR7626978,Successful,CUST620226,Auto,Nagarbhavi,Koramangala 5th Block,1.9,4.7,No,,No,,No,,312,7.9,4.5,4.5,UPI
07-09-2025,09:11:00,CNR5613428,Successful,CUST393448,Mini,Malleshwaram,MG Road,5,7.5,No,,No,,No,,254,9.4,4.9,4.8,UPI
21-09-2025,17:02:00,CNR5951043,Incomplete,CUST623125,Mini,Sarakki,Seshadripuram,,,No,,No,,Yes,Vehicle Breakdown,,7.3,,,Card
14-09-2025,13:09:00,CNR4346346,Successful,CUST773870,Prime SUV,Shivaji Nagar,Richmond Town,7.7,7.8,No,,No,,No,,432,8.3,4.5,4.1,UPI
26-09-2025,19:33:00,CNR1327658,Successful,CUST501078,Bike,Sanjay Nagar,Seshadripuram,2.7,2.3,No,,No,,No,,213,0.5,4.7,4.4,UPI
15-09-2025,21:34:00,CNR9428760,Successful,CUST437226,Mini,Banashankari,Indiranagar,7.4,12.5,No,,No,,No,,218,0.5,4.9,4.6,Card
07-09-2025,21:17:00,CNR5713268,Incomplete,CUST161437,Bike,Seshadripuram,Shivaji Nagar,,,No,,No,,Yes,Other Issue,,8.4,,,Wallet
30-09-2025,22:37:00,CNR3678059,Successful,CUST204998,Prime Plus,Richmond Town,Kundalahalli,7.2,7.9,No,,No,,No,,133,7.4,4.2,4.6,UPI
25-09-2025,18:34:00,CNR1937991,Successful,CUST901164,Prime SUV,Banaswadi,Yeshwantpur,6.4,5.2,No,,No,,No,,576,24.7,4.1,4.3,Card
26-09-2025,12:03:00,CNR3914404,Other,CUST284654,Prime Plus,Basavanagudi,Talaghattapura,,,No,,No,,No,,,6.8,,,UPI
28-09-2025,06:28:00,CNR6900247,Cancelled by Customer,CUST695225,Mini,Yeshwantpur,Jalahalli,,,Yes,Wrong Address,No,,No,,,23.1,,,UPI
18-09-2025,08:59:00,CNR9228157,Successful,CUST139807,Auto,Banaswadi,Kudlu,4.8,8.8,No,,No,,No,,233,7.2,4.4,4.6,UPI
17-09-2025,06:00:00,CNR6565572,Cancelled by Driver,CUST743966,Prime Plus,HSR Layout,Kammanahalli,,,No,,Yes,The customer was coughing/sick,No,,,16.1,,,UPI
04-09-2025,08:31:00,CNR3376537,Successful,CUST911982,Auto,Shivaji Nagar,Banerghatta Road,2.6,3.1,No,,No,,No,,792,25.2,4.3,4.3,UPI
14-09-2025,22:04:00,CNR7636992,Cancelled by Driver,CUST714483,Auto,Kengeri,Basavanagudi,,,No,,Yes,Customer related issue,No,,,7,,,Card
22-09-2025,13:27:00,CNR9173859,Cancelled by Customer,CUST780714,Prime Sedan,Ejipura,Sarakki,,,Yes,AC is not working (Only for 4-wheelers),No,,No,,,7.9,,,Cash
25-09-2025,09:48:00,CNR3941912,Successful,CUST496764,Prime Sedan,Sarjapur Road,Marathahalli,8.2,12,No,,No,,No,,113,9.1,3.9,5,UPI
22-09-2025,22:11:00,CNR7569981,Successful,CUST992083,Prime SUV,Yeshwantpur,MG Road,11.1,12.1,No,,No,,No,,141,7.9,4,3.2,UPI
12-09-2025,19:48:00,CNR4706007,Cancelled by Driver,CUST770718,Mini,Ulsoor,Malleshwaram,,,No,,Yes,Personal & Car related issues,No,,,13.2,,,UPI
07-09-2025,22:45:00,CNR6360633,Incomplete,CUST276042,Mini,Whitefield,Ejipura,,,No,,No,,Yes,Other Issue,,5.9,,,UPI
28-09-2025,13:37:00,CNR1191186,Successful,CUST378095,Prime Plus,Sarjapur Road,Jayanagar,10,12.7,No,,No,,No,,273,6.1,4.5,4.2,UPI
25-09-2025,18:17:00,CNR1021494,Successful,CUST150486,Mini,Hulimavu,Koramangala 1st Block,8.1,6.4,No,,No,,No,,715,27.3,4.1,4.4,UPI
28-09-2025,14:24:00,CNR7353742,Successful,CUST468292,Mini,Hebbal,Seshadripuram,4.6,7.2,No,,No,,No,,566,16.9,4.2,4.6,UPI
20-09-2025,18:56:00,CNR4784650,Successful,CUST270557,Mini,MG Road,Marathahalli,3.3,4.2,No,,No,,No,,387,9.4,4.7,4.1,UPI
09-09-2025,07:47:00,CNR2244876,Successful,CUST458411,Auto,Cooke Town,Rajajinagar,2.1,6.7,No,,No,,No,,999,8.4,3.8,4.4,Wallet
18-09-2025,21:19:00,CNR2562037,Successful,CUST454366,Mini,Ejipura,Seshadripuram,3.1,3.3,No,,No,,No,,635,21.5,4.6,5,Card
14-09-2025,17:09:00,CNR3768193,Successful,CUST736818,Prime SUV,Rajajinagar,Brigade Road,7.7,10.4,No,,No,,No,,283,8.2,5,4.3,Card
07-09-2025,09:14:00,CNR7866576,Successful,CUST831063,Mini,Hulimavu,Chamarajpet,5.7,5.9,No,,No,,No,,241,6.8,5,5,Cash
10-09-2025,10:03:00,CNR2609202,Successful,CUST152046,Mini,Sarakki,Ulsoor,1.6,1.2,No,,No,,No,,177,0.5,4.2,4.8,UPI
13-09-2025,13:17:00,CNR2470159,Successful,CUST408857,eBike,Vijayanagar,Kudlu,5.5,6.7,No,,No,,No,,328,7.8,5,3.8,UPI
06-09-2025,09:31:00,CNR3866088,Successful,CUST769191,Prime Sedan,Whitefield,Seshadripuram,8.7,8.1,No,,No,,No,,872,10.5,4.9,5,UPI
11-09-2025,12:47:00,CNR8901136,Successful,CUST612855,Prime SUV,Kalyan Nagar,Whitefield,4.1,7,No,,No,,No,,36,7,3.9,4.8,UPI
14-09-2025,12:19:00,CNR7399588,Successful,CUST487345,Prime Plus,MG Road,Kalyan Nagar,9.8,14.1,No,,No,,No,,381,0.8,5,5,UPI
09-09-2025,20:17:00,CNR5505722,Cancelled by Customer,CUST691655,Auto,Chikkabanavara,Sarjapur Road,,,Yes,Driver is not moving towards pickup location,No,,No,,,3.6,,,Card
21-09-2025,19:47:00,CNR7945543,Successful,CUST893202,Mini,Sarakki,Brigade Road,3,8.5,No,,No,,No,,719,21.1,5,4.8,UPI
27-09-2025,13:08:00,CNR9984440,Cancelled by Customer,CUST820442,Prime SUV,Seshadripuram,Yeshwantpur,,,Yes,Wrong Address,No,,No,,,21.2,,,UPI
11-09-2025,12:44:00,CNR1582647,Cancelled by Driver,CUST626491,Mini,Shivaji Nagar,Yeshwantpur,,,No,,Yes,Customer related issue,No,,,5,,,Card
06-09-2025,18:55:00,CNR8533636,Successful,CUST281276,Prime SUV,Rajajinagar,Electronic City,5.6,8.7,No,,No,,No,,999,19.4,4.8,5,Cash
06-09-2025,13:13:00,CNR2314805,Cancelled by Driver,CUST816308,Mini,Vijayanagar,Malleshwaram,,,No,,Yes,The customer was coughing/sick,No,,,22,,,UPI
12-09-2025,18:24:00,CNR2124274,Cancelled by Customer,CUST191254,Mini,Residency Road,Sarakki,,,Yes,Change of plans,No,,No,,,4.8,,,UPI
17-09-2025,21:39:00,CNR1207430,Cancelled by Driver,CUST924758,Bike,Peenya,Shivaji Nagar,,,No,,Yes,Personal & Car related issues,No,,,23.1,,,Wallet
14-09-2025,08:31:00,CNR2681144,Successful,CUST210766,Mini,Hebbal,Marathahalli,7.3,10.2,No,,No,,No,,819,17.6,4.8,4.7,UPI
28-09-2025,20:58:00,CNR7893590,Successful,CUST376967,Mini,Ulsoor,Yeshwantpur,8.9,7.7,No,,No,,No,,233,0.5,5,4.6,Card
03-09-2025,10:42:00,CNR7760781,Cancelled by Driver,CUST250840,Mini,Nagarbhavi,Sarjapur Road,,,No,,Yes,More than permitted people in there,No,,,6.4,,,UPI
28-09-2025,11:39:00,CNR4985919,Successful,CUST151685,Bike,Kundalahalli,Banerghatta Road,0.5,0.5,No,,No,,No,,46,7.2,5,4.4,Card
27-09-2025,11:10:00,CNR6216863,Cancelled by Customer,CUST393964,eBike,Sarjapur Road,Nagarbhavi,,,Yes,Driver asked to cancel,No,,No,,,6.5,,,UPI
07-09-2025,22:37:00,CNR8434162,Other,CUST911630,eBike,Kundalahalli,Hulimavu,,,No,,No,,No,,,9.4,,,UPI
21-09-2025,09:12:00,CNR8410774,Successful,CUST321659,Prime SUV,Koramangala 1st Block,Talaghattapura,8.9,8.9,No,,No,,No,,499,4.9,4.5,4,UPI
16-09-2025,12:22:00,CNR1942977,Successful,CUST640299,Bike,Jayanagar,Kengeri,1.4,3.3,No,,No,,No,,833,24.2,4.4,4.1,UPI
14-09-2025,19:19:00,CNR9796063,Successful,CUST696296,Auto,Jalahalli,Jalahalli,4.4,9,No,,No,,No,,908,14.7,4.2,4,Cash
08-09-2025,13:47:00,CNR1848243,Successful,CUST477880,Bike,Kundalahalli,Banerghatta Road,3.9,2.3,No,,No,,No,,852,19.6,4.6,4.8,UPI
16-09-2025,16:50:00,CNR3078241,Successful,CUST814263,Auto,Banerghatta Road,Ulsoor,3.4,6.6,No,,No,,No,,242,9.4,4.2,3.7,Cash
07-09-2025,20:51:00,CNR8962169,Successful,CUST715388,Mini,Sanjay Nagar,Rajajinagar,6.5,6.2,No,,No,,No,,999,26.3,4.3,4.5,UPI
08-09-2025,20:10:00,CNR2516524,Successful,CUST398916,Auto,Brigade Road,Rajajinagar,6.7,5.7,No,,No,,No,,592,22.1,4.7,4.9,UPI
25-09-2025,09:39:00,CNR4713654,Successful,CUST778827,Prime Plus,Electronic City,Kundalahalli,4.6,5.6,No,,No,,No,,158,6.1,5,3.8,UPI
16-09-2025,20:45:00,CNR1149283,Successful,CUST597126,Prime SUV,Hosur Road,Banashankari,8.9,6.6,No,,No,,No,,333,4.2,4.4,4.2,UPI
01-09-2025,10:18:00,CNR6124763,Successful,CUST847362,Prime SUV,Hosur Road,Kundalahalli,12,12.8,No,,No,,No,,190,10.3,4.2,4,UPI
14-09-2025,11:57:00,CNR8700708,Successful,CUST364239,Prime Plus,Kengeri,Nagarbhavi,9.5,11.7,No,,No,,No,,188,14.8,4.6,3.4,Card
21-09-2025,15:58:00,CNR2716512,Successful,CUST107704,Mini,Bharathnagar,Banerghatta Road,6.3,11.9,No,,No,,No,,278,3.4,4.1,4.7,Card
20-09-2025,10:49:00,CNR6007595,Cancelled by Customer,CUST817659,Auto,Jayanagar,Kammanahalli,,,Yes,Change of plans,No,,No,,,41.7,,,UPI
28-09-2025,10:27:00,CNR6012883,Successful,CUST297509,Auto,Chikkabanavara,Richmond Town,3.3,4.2,No,,No,,No,,702,15.5,5,4.7,Cash
26-09-2025,19:41:00,CNR7779646,Successful,CUST792616,Prime Sedan,HSR Layout,Hulimavu,12.2,8.4,No,,No,,No,,84,4.3,4.4,4.7,UPI
15-09-2025,11:02:00,CNR5352450,Successful,CUST538897,Mini,Talaghattapura,MG Road,5.1,6.1,No,,No,,No,,360,3,4.4,3.8,Card
30-09-2025,19:55:00,CNR4186247,Cancelled by Driver,CUST459836,Bike,Banaswadi,Nagarbhavi,,,No,,Yes,More than permitted people in there,No,,,5.8,,,UPI
28-09-2025,17:27:00,CNR7014583,Successful,CUST631958,Prime Sedan,Rajajinagar,Bharathnagar,9.2,12.9,No,,No,,No,,999,11.3,4.3,3.8,Cash
07-09-2025,07:39:00,CNR8898392,Successful,CUST234159,Bike,Hulimavu,Sarakki,4.4,6.3,No,,No,,No,,836,13.2,5,4.3,UPI
07-09-2025,17:36:00,CNR6630978,Incomplete,CUST786224,Auto,Sanjay Nagar,Banaswadi,,,No,,No,,Yes,Vehicle Breakdown,,21.7,,,Wallet
14-09-2025,21:08:00,CNR6558579,Cancelled by Driver,CUST489737,Prime Sedan,Marathahalli,Baiyappanahalli,,,No,,Yes,More than permitted people in there,No,,,10.9,,,Wallet
03-09-2025,16:49:00,CNR2194801,Successful,CUST595158,Prime SUV,Frazer Town,Yelahanka,8.3,11,No,,No,,No,,606,16.9,4.7,4.1,UPI
14-09-2025,11:05:00,CNR7930789,Successful,CUST156688,Prime SUV,Malleshwaram,HSR Layout,7.4,10.3,No,,No,,No,,1780,40.5,4.4,4.3,Wallet
13-09-2025,22:50:00,CNR8676774,Successful,CUST250181,Prime Sedan,Ejipura,Banashankari,7.9,13,No,,No,,No,,930,20.8,4.5,4.1,UPI
15-09-2025,16:46:00,CNR3966618,Cancelled by Customer,CUST428638,Mini,Koramangala,Airport Road,,,Yes,Driver asked to cancel,No,,No,,,2.7,,,UPI
20-09-2025,08:42:00,CNR9213740,Successful,CUST923353,Bike,Whitefield,HSR Layout,2.9,6.1,No,,No,,No,,194,4.9,4.2,4.9,UPI
21-09-2025,12:53:00,CNR8197852,Cancelled by Driver,CUST600590,Mini,MG Road,Chamarajpet,,,No,,Yes,The customer was coughing/sick,No,,,7.7,,,UPI
28-09-2025,21:13:00,CNR6405839,Successful,CUST893612,eBike,Jalahalli,Indiranagar,4.1,4.2,No,,No,,No,,136,3.3,4.8,4.6,Wallet
21-09-2025,10:14:00,CNR4796108,Successful,CUST827213,Prime SUV,Kengeri,HSR Layout,7.6,10.6,No,,No,,No,,231,3,4.7,4.7,UPI
16-09-2025,11:13:00,CNR3802133,Successful,CUST168458,eBike,Kengeri,Marathahalli,3.4,7.1,No,,No,,No,,306,1.4,3.9,4.8,UPI
17-09-2025,14:56:00,CNR6667933,Successful,CUST554730,Prime SUV,HSR Layout,Kammanahalli,8.7,13.3,No,,No,,No,,1798,39.6,4.1,5,UPI
15-09-2025,18:48:00,CNR4161264,Successful,CUST272892,Prime SUV,Residency Road,Indiranagar,15.3,14.7,No,,No,,No,,309,1.8,5,5,UPI
22-09-2025,08:14:00,CNR4543184,Successful,CUST869735,Auto,Frazer Town,Rajajinagar,8,8.4,No,,No,,No,,250,9,4.3,4.7,Card
21-09-2025,19:31:00,CNR1626854,Successful,CUST493417,Prime SUV,Kalyan Nagar,Sadananda Nagar,8.7,11,No,,No,,No,,499,8.6,4.5,5,UPI
03-09-2025,22:58:00,CNR1804641,Successful,CUST794125,Auto,Indiranagar,Brigade Road,4.4,4.3,No,,No,,No,,438,4.6,4.8,4.2,UPI
14-09-2025,12:29:00,CNR3073581,Successful,CUST673867,Prime Plus,Sarjapur Road,Malleshwaram,4.2,4.7,No,,No,,No,,350,8.5,4.5,4.4,UPI
21-09-2025,06:09:00,CNR6051895,Cancelled by Driver,CUST541315,Bike,Bharathnagar,Shivaji Nagar,,,No,,Yes,Customer related issue,No,,,5.8,,,UPI
14-09-2025,21:20:00,CNR2760168,Successful,CUST636435,Bike,Yelahanka,Marathahalli,1.6,3.5,No,,No,,No,,384,8.6,4.8,4.2,Wallet
06-09-2025,09:23:00,CNR4351238,Cancelled by Driver,CUST915749,Prime Sedan,Shivaji Nagar,Jalahalli,,,No,,Yes,More than permitted people in there,No,,,3.2,,,UPI
10-09-2025,06:40:00,CNR9327450,Successful,CUST317782,Bike,Seshadripuram,Kammanahalli,0.5,1.8,No,,No,,No,,246,3.5,3.7,4.5,UPI
01-09-2025,07:31:00,CNR2852723,Successful,CUST975804,Mini,Ulsoor,Malleshwaram,11.3,13.5,No,,No,,No,,575,23.5,4.6,3.5,Cash
25-09-2025,07:16:00,CNR2699372,Successful,CUST368322,Mini,Baiyappanahalli,Marathahalli,10.4,8.5,No,,No,,No,,216,8.5,4,5,UPI
03-09-2025,19:52:00,CNR3931009,Successful,CUST141360,eBike,Banerghatta Road,Nagarbhavi,6.1,5.3,No,,No,,No,,217,5.3,4.5,4,UPI
22-09-2025,07:37:00,CNR1769891,Successful,CUST110142,eBike,Bharathnagar,Hosur Road,1.9,2,No,,No,,No,,179,3.5,4.3,5,Wallet
13-09-2025,13:28:00,CNR5501484,Cancelled by Driver,CUST868677,Auto,Kammanahalli,Banashankari,,,No,,Yes,More than permitted people in there,No,,,4.4,,,Wallet
28-09-2025,10:38:00,CNR7471232,Successful,CUST823415,eBike,Koramangala 1st Block,Hosur Road,2.1,4.5,No,,No,,No,,965,11.4,3.8,4.2,UPI
07-09-2025,08:15:00,CNR1983923,Incomplete,CUST985364,Auto,Koramangala 1st Block,Peenya,,,No,,No,,Yes,Other Issue,,3.3,,,Wallet
21-09-2025,09:05:00,CNR7371160,Cancelled by Customer,CUST917012,Prime Sedan,Indiranagar,Nagarbhavi,,,Yes,Driver asked to cancel,No,,No,,,14,,,UPI
15-09-2025,14:19:00,CNR2894776,Cancelled by Driver,CUST531262,Mini,Jayanagar,Kalyan Nagar,,,No,,Yes,Personal & Car related issues,No,,,5.4,,,UPI
21-09-2025,17:34:00,CNR9804983,Successful,CUST904812,Bike,Hulimavu,Yeshwantpur,4.4,6.2,No,,No,,No,,30,0.5,3.7,4.9,UPI
28-09-2025,20:54:00,CNR6675742,Successful,CUST644315,Mini,Sarjapur Road,Ejipura,5.2,7.4,No,,No,,No,,344,7.5,4,4.9,UPI
21-09-2025,10:14:00,CNR9085438,Successful,CUST462544,Bike,Hosur Road,Cooke Town,6.9,8,No,,No,,No,,250,2.6,4.9,4.5,UPI
27-09-2025,21:13:00,CNR1915467,Other,CUST112210,Mini,Rajajinagar,Frazer Town,,,No,,No,,No,,,13.7,,,UPI
28-09-2025,20:50:00,CNR3775016,Cancelled by Driver,CUST178501,Bike,Basavanagudi,Richmond Town,,,No,,Yes,The customer was coughing/sick,No,,,5.4,,,UPI
03-09-2025,09:48:00,CNR7352484,Successful,CUST522866,eBike,Whitefield,Baiyappanahalli,2.3,5.7,No,,No,,No,,242,6.3,4.8,5,UPI
19-09-2025,07:30:00,CNR9362706,Cancelled by Customer,CUST568784,Prime Sedan,Ulsoor,Talaghattapura,,,Yes,Driver is not moving towards pickup location,No,,No,,,5.3,,,UPI
